C_Code,yyear,daily_calory,prevalence_obesity,prevalence_overweight,death_rate
MHL,1997,,39.8,75.9,10.99
MHL,1998,,40.5,76.4,11.2
MHL,1999,,41.3,76.9,11.42
MHL,2000,,42,77.4,11.58
MHL,2001,,42.7,77.8,11.94
MHL,2002,,43.4,78.2,12.25
MHL,2003,,44.1,78.7,12.53
MHL,2004,,44.8,79.1,12.78
MHL,2005,,45.5,79.5,12.95
MHL,2006,,46.2,79.9,13.01
MHL,2007,,46.9,80.3,12.99
MHL,2008,,47.6,80.7,12.96
MHL,2009,,48.2,81,12.94
MHL,2010,,48.9,81.4,12.96
MHL,2011,,49.5,81.8,13.05
MHL,2012,,50.1,82.1,13.17
MHL,2013,,50.7,82.5,13.3
MHL,2014,,51.3,82.8,13.45
MHL,2015,,51.8,83.1,13.59
MHL,2016,,52.4,83.5,13.78
MRT,1990,2497,3.3,17.8,5.77
MRT,1991,2518,3.5,18.4,5.97
MRT,1992,2539,3.7,19.1,6.18
MRT,1993,2602,3.9,19.7,6.38
MRT,1994,2530,4.2,20.3,6.38
MRT,1995,2575,4.4,20.9,6.47
MRT,1996,2603,4.6,21.6,6.64
MRT,1997,2622,4.9,22.2,6.8
MRT,1998,2655,5.1,22.8,7.01
MRT,1999,2637,5.4,23.4,7.1
MRT,2000,2632,5.7,24.1,7.35
MRT,2001,2625,6,24.7,7.59
MRT,2002,2638,6.2,25.3,7.78
MRT,2003,2712,6.6,26,7.85
MRT,2004,2599,6.9,26.6,8.11
MRT,2005,2629,7.2,27.3,8.22
MRT,2006,2603,7.5,27.9,8.57
MRT,2007,2726,7.9,28.6,8.61
MRT,2008,2772,8.2,29.2,8.72
MRT,2009,2762,8.6,29.9,9.08
MRT,2010,2797,8.9,30.5,9.16
MRT,2011,2806,9.3,31.1,9.31
MRT,2012,2873,9.7,31.8,9.61
MRT,2013,2876,10.1,32.4,9.75
MRT,2014,2882,10.5,33.1,9.65
MRT,2015,2878,10.9,33.7,9.78
MRT,2016,2850,11.3,34.4,9.77
MUS,1990,2785,4.4,22,10.39
MUS,1991,2789,4.6,22.5,10.61
MUS,1992,2814,4.8,22.9,10.98
MUS,1993,2790,5,23.3,11.15
MUS,1994,2834,5.2,23.7,11.26
MUS,1995,2895,5.4,24.1,11.47
MUS,1996,2871,5.6,24.5,11.6
MUS,1997,2828,5.8,24.9,11.78
MUS,1998,2861,6.1,25.2,12.02
MUS,1999,2862,6.3,25.6,12.39
MUS,2000,2904,6.6,26,12.93
MUS,2001,2954,6.8,26.4,13.41
MUS,2002,2953,7.1,26.7,13.86
MUS,2003,2958,7.4,27.1,14.49
MUS,2004,3023,7.6,27.5,14.96
MUS,2005,3009,7.9,27.9,15.74
MUS,2006,3022,8.2,28.2,16.31
MUS,2007,3076,8.5,28.6,16.84
MUS,2008,3001,8.8,29,17.4
MUS,2009,3124,9.1,29.4,17.78
MUS,2010,3151,9.5,29.8,18.01
MUS,2011,3058,9.8,30.2,18.14
MUS,2012,3014,10.1,30.6,18.27
MUS,2013,3065,10.4,31,18.16
MUS,2014,3040,10.8,31.4,18.27
MUS,2015,3044,11.1,31.9,18.35
MUS,2016,3008,11.5,32.3,18.41
MEX,1990,2969,14,49,10.21
MEX,1991,2989,14.5,49.7,10.42
MEX,1992,3000,14.9,50.5,10.68
MEX,1993,3008,15.4,51.2,10.97
MEX,1994,3005,15.9,51.9,11.22
MEX,1995,2967,16.4,52.6,11.5
MEX,1996,2991,16.9,53.3,11.72
MEX,1997,2967,17.5,53.9,12.09
MEX,1998,2971,18,54.6,12.49
MEX,1999,2982,18.5,55.2,12.93
MEX,2000,3037,19.1,55.9,13.25
MEX,2001,3085,19.7,56.5,13.54
MEX,2002,3103,20.2,57.1,13.88
MEX,2003,3109,20.8,57.7,14.18
MEX,2004,3105,21.4,58.3,14.41
MEX,2005,3065,22,58.9,14.67
MEX,2006,3079,22.6,59.5,14.83
MEX,2007,3101,23.1,60.1,14.98
MEX,2008,3079,23.7,60.6,15.16
MEX,2009,3043,24.3,61.2,15.28
MEX,2010,3041,24.9,61.7,15.29
MEX,2011,3028,25.5,62.3,15.35
MEX,2012,3049,26,62.8,15.53
MEX,2013,3072,26.6,63.3,15.75
MEX,2014,3132,27.2,63.9,15.96
MEX,2015,3131,27.8,64.4,16.07
MEX,2016,3155,28.4,64.9,16.24
FSM,1990,,24.3,61.5,13.31
FSM,1991,,25.1,62.1,13.69
FSM,1992,,25.9,62.7,14.06
FSM,1993,,26.7,63.4,14.43
FSM,1994,,27.5,64,14.8
FSM,1995,,28.3,64.6,15.18
FSM,1996,,29,65.2,15.58
FSM,1997,,29.6,65.8,16
FSM,1998,,30.2,66.3,16.41
FSM,1999,,30.7,66.8,16.84
FSM,2000,,31.2,67.3,17.1
FSM,2001,,31.7,67.8,17.72
FSM,2002,,32.3,68.3,17.62
FSM,2003,,32.8,68.8,18.61
FSM,2004,,33.3,69.4,18.94
FSM,2005,,33.9,69.9,19.2
FSM,2006,,34.5,70.5,19.17
FSM,2007,,35.2,71,19.05
FSM,2008,,35.9,71.6,18.88
FSM,2009,,36.6,72.2,18.7
FSM,2010,,37.2,72.7,18.56
FSM,2011,,37.9,73.3,18.53
FSM,2012,,38.6,73.8,18.5
FSM,2013,,39.3,74.4,18.48
FSM,2014,,40.1,74.9,18.47
FSM,2015,,40.8,75.4,18.42
FSM,2016,,41.6,75.9,18.56
MDA,1992,2475,12.8,42.5,10.69
MDA,1993,2480,13,42.9,11.14
MDA,1994,2443,13.3,43.2,11.45
MDA,1995,2492,13.5,43.6,11.67
MDA,1996,2449,13.8,43.9,11.74
MDA,1997,2456,14,44.3,11.71
MDA,1998,2462,14.3,44.6,11.62
MDA,1999,2481,14.5,45,11.71
MDA,2000,2500,14.8,45.3,11.81
MDA,2001,2525,15,45.7,11.83
MDA,2002,2569,15.3,46,11.92
MDA,2003,2555,15.5,46.4,12.1
MDA,2004,2582,15.8,46.8,12.26
MDA,2005,2625,16.1,47.2,12.58
MDA,2006,2694,16.3,47.6,12.81
MDA,2007,2754,16.6,48,12.97
MDA,2008,2788,16.9,48.4,13.22
MDA,2009,2695,17.2,48.8,13.59
MDA,2010,2680,17.5,49.2,13.97
MDA,2011,2700,17.9,49.6,14.21
MDA,2012,2713,18.3,50,14.51
MDA,2013,2714,18.7,50.5,14.84
MDA,2014,2348,19.2,50.9,15.16
MDA,2015,2319,19.6,51.3,15.41
MDA,2016,2389,20.1,51.8,15.52
MDA,1990,,12.2,41.6,10.49
MDA,1991,,12.5,42,10.79
MNG,1990,2258,7.3,37.8,9.18
MNG,1991,2188,7.6,38.4,9.39
MNG,1992,1851,7.8,38.9,9.5
MNG,1993,1852,8,39.4,9.66
MNG,1994,1852,8.2,40,9.76
MNG,1995,2033,8.4,40.5,10.01
MNG,1996,2039,8.7,40.9,10.12
MNG,1997,2032,8.9,41.4,10.32
MNG,1998,2099,9.2,41.9,10.46
MNG,1999,2135,9.5,42.4,10.67
MNG,2000,2177,9.8,43,10.85
MNG,2001,2218,10.1,43.5,11.05
MNG,2002,2228,10.5,44.2,11.17
MNG,2003,2221,10.9,44.9,11.26
MNG,2004,2230,11.3,45.6,11.37
MNG,2005,2253,11.8,46.4,11.44
MNG,2006,2288,12.4,47.2,11.47
MNG,2007,2342,12.9,48.1,11.55
MNG,2008,2375,13.5,48.9,11.61
MNG,2009,2451,14.2,49.8,11.81
MNG,2010,2431,14.9,50.6,12.03
MNG,2011,2454,15.6,51.5,12.19
MNG,2012,2487,16.3,52.3,12.21
MNG,2013,2510,17.1,53.2,12.3
MNG,2014,2513,17.9,54,12.44
MNG,2015,2483,18.8,54.8,12.62
MNG,2016,2528,19.6,55.6,12.7
MNE,2006,3276,20.1,54.3,16.09
MNE,2007,3411,20.7,54.9,16.06
MNE,2008,3482,21.2,55.5,16.08
MNE,2009,3487,21.7,56,16.21
MNE,2010,3463,22.1,56.5,16.32
MNE,2011,3481,22.6,57,16.43
MNE,2012,3374,23.1,57.5,16.42
MNE,2013,3491,23.5,58,16.42
MNE,2014,3376,23.9,58.5,16.52
MNE,2015,3417,24.4,58.9,16.65
MNE,2016,3475,24.9,59.4,16.73
MNE,1990,,11.4,42.8,15.39
MNE,1991,,11.9,43.6,15.23
MNE,1992,,12.4,44.4,15.19
MNE,1993,,13,45.1,15.36
MNE,1994,,13.5,45.9,15.55
MNE,1995,,14.1,46.6,15.61
MNE,1996,,14.6,47.4,15.69
MNE,1997,,15.2,48.1,15.8
MNE,1998,,15.8,48.8,15.77
MNE,1999,,16.3,49.5,15.6
MNE,2000,,16.9,50.3,15.69
MNE,2001,,17.4,51,15.9
MNE,2002,,18,51.7,16.08
MNE,2003,,18.5,52.4,16.07
MNE,2004,,19.1,53,16.09
MNE,2005,,19.6,53.7,16.13
MOZ,1990,1808,1.8,14.1,1.31
MOZ,1991,1712,1.9,14.6,1.31
MOZ,1992,1693,2,15.1,1.34
MOZ,1993,1696,2.1,15.6,1.38
MOZ,1994,1684,2.2,16.1,1.4
MOZ,1995,1848,2.4,16.6,1.4
MOZ,1996,1940,2.5,17,1.42
MOZ,1997,1972,2.6,17.5,1.46
MOZ,1998,1987,2.8,17.9,1.51
MOZ,1999,2000,2.9,18.4,1.57
MOZ,2000,1990,3,18.8,1.63
MOZ,2001,1984,3.2,19.3,1.68
MOZ,2002,2041,3.3,19.7,1.76
MOZ,2003,2092,3.5,20.2,1.85
MOZ,2004,2059,3.7,20.6,1.96
MOZ,2005,2038,3.8,21.1,2.09
MOZ,2006,2111,4,21.5,2.22
MOZ,2007,2083,4.2,22,2.38
MOZ,2008,2164,4.3,22.5,2.57
MOZ,2009,2165,4.5,22.9,2.72
MOZ,2010,2242,4.7,23.4,2.87
MOZ,2011,2259,4.9,23.9,3.03
MOZ,2012,2298,5.1,24.4,3.18
MOZ,2013,2283,5.3,24.9,3.36
MOZ,2014,2176,5.5,25.4,3.59
MOZ,2015,2092,5.8,25.9,3.8
MOZ,2016,2059,6,26.4,3.99
MMR,1990,1696,1.1,11.1,1.97
MMR,1991,1692,1.1,11.4,1.99
MMR,1992,1693,1.2,11.8,2.01
MMR,1993,1737,1.3,12.1,2.05
MMR,1994,1715,1.3,12.5,2.09
MMR,1995,1770,1.4,12.9,2.12
MMR,1996,1788,1.5,13.2,2.17
MMR,1997,1840,1.6,13.6,2.22
MMR,1998,1837,1.7,14.1,2.29
MMR,1999,1836,1.8,14.5,2.37
MMR,2000,1910,1.9,15,2.46
MMR,2001,1957,2,15.4,2.57
MMR,2002,2002,2.2,15.9,2.72
MMR,2003,2057,2.3,16.5,2.9
MMR,2004,2093,2.5,17,3.09
MMR,2005,2137,2.7,17.5,3.27
MMR,2006,2207,2.9,18.1,3.48
MMR,2007,2282,3.1,18.7,3.71
MMR,2008,2372,3.3,19.3,3.21
MMR,2009,2405,3.6,19.9,4.21
MMR,2010,2500,3.8,20.6,4.44
MMR,2011,2531,4.1,21.2,4.68
MMR,2012,2565,4.4,21.9,4.91
MMR,2013,2571,4.7,22.6,5.21
MMR,2014,2653,5,23.3,5.48
MMR,2015,2683,5.4,24,5.73
MMR,2016,2728,5.7,24.8,5.98
NAM,1990,2061,5.3,22.5,6.8
NAM,1991,2068,5.5,23,6.84
NAM,1992,2034,5.7,23.5,6.89
NAM,1993,2001,5.9,24.1,6.89
NAM,1994,1997,6.2,24.7,6.83
NAM,1995,2033,6.4,25.2,6.79
NAM,1996,2037,6.7,25.8,6.64
NAM,1997,2082,6.9,26.4,6.56
NAM,1998,2065,7.2,27,6.49
NAM,1999,2165,7.5,27.6,6.47
NAM,2000,2246,7.8,28.2,6.44
NAM,2001,2273,8.1,28.9,6.27
NAM,2002,2215,8.5,29.6,6.25
NAM,2003,2247,8.9,30.3,6.16
NAM,2004,2268,9.3,31.1,6.15
NAM,2005,2243,9.7,31.8,6.3
NAM,2006,2230,10.1,32.6,6.55
NAM,2007,2218,10.6,33.4,6.95
NAM,2008,2120,11,34.2,7.28
NAM,2009,2062,11.5,35,7.44
NAM,2010,2055,12,35.8,7.61
NAM,2011,2090,12.4,36.6,7.77
NAM,2012,2145,12.9,37.4,8.13
NAM,2013,2171,13.4,38.2,8.33
NAM,2014,2369,13.9,39,8.48
NAM,2015,2427,14.5,39.8,8.65
NAM,2016,2450,15,40.6,8.86
NRU,1990,,48.4,82.5,16.55
NRU,1991,,49.1,82.8,16.71
NRU,1992,,49.7,83.1,16.88
NRU,1993,,50.3,83.4,16.92
NRU,1994,,50.9,83.6,17.02
NRU,1995,,51.5,83.9,17.12
NRU,1996,,52.1,84.2,17.17
NRU,1997,,52.6,84.4,17.17
NRU,1998,,53.1,84.7,17.12
NRU,1999,,53.6,85,17.06
NRU,2000,,54.1,85.2,17
NRU,2001,,54.6,85.4,17.03
NRU,2002,,55,85.7,17.01
NRU,2003,,55.5,85.9,16.99
NRU,2004,,55.9,86.1,16.98
NRU,2005,,56.4,86.3,16.96
NRU,2006,,56.8,86.5,16.81
NRU,2007,,57.3,86.8,16.61
NRU,2008,,57.7,87,16.43
NRU,2009,,58.1,87.2,16.3
NRU,2010,,58.5,87.4,16.27
NRU,2011,,58.9,87.6,16.44
NRU,2012,,59.3,87.8,16.77
NRU,2013,,59.7,88,17.23
NRU,2014,,60,88.1,17.71
NRU,2015,,60.4,88.3,18.19
NRU,2016,,60.7,88.5,18.7
NPL,1990,2185,0.7,8.9,0.99
NPL,1991,2220,0.7,9.2,1.02
NPL,1992,2228,0.8,9.5,1.06
NPL,1993,2185,0.8,9.9,1.11
NPL,1994,2253,0.9,10.2,1.17
NPL,1995,2240,0.9,10.6,1.22
NPL,1996,2216,1,11,1.28
NPL,1997,2273,1.1,11.4,1.36
NPL,1998,2244,1.2,11.8,1.44
NPL,1999,2307,1.3,12.2,1.54
NPL,2000,2257,1.4,12.7,1.64
NPL,2001,2276,1.5,13.1,1.75
NPL,2002,2279,1.6,13.6,1.84
NPL,2003,2339,1.7,14.1,1.99
NPL,2004,2374,1.8,14.5,2.12
NPL,2005,2406,1.9,15,2.26
NPL,2006,2378,2.1,15.5,2.4
NPL,2007,2429,2.2,16,2.54
NPL,2008,2490,2.4,16.5,2.68
NPL,2009,2533,2.5,17,2.83
NPL,2010,2560,2.6,17.6,3
NPL,2011,2614,2.8,18.1,3.17
NPL,2012,2655,3,18.7,3.35
NPL,2013,2673,3.2,19.2,3.54
NPL,2014,2714,3.3,19.8,3.7
NPL,2015,2736,3.5,20.4,3.74
NPL,2016,2777,3.8,21,4.01
NLD,1990,3280,9.4,42.3,8.01
NLD,1991,3344,9.8,42.9,7.99
NLD,1992,3315,10.2,43.6,7.94
NLD,1993,3323,10.6,44.2,7.91
NLD,1994,3236,11.1,44.9,7.89
NLD,1995,3364,11.6,45.6,7.85
NLD,1996,3374,12.1,46.3,7.79
NLD,1997,3271,12.6,47,7.75
NLD,1998,3361,13.1,47.6,7.69
NLD,1999,3283,13.6,48.3,7.66
NLD,2000,3265,14.2,48.9,7.65
NLD,2001,3254,14.7,49.6,7.65
NLD,2002,3249,15.3,50.2,7.65
NLD,2003,3141,15.9,50.9,7.72
NLD,2004,3197,16.5,51.5,7.53
NLD,2005,3231,17.1,52.1,7.4
NLD,2006,3213,17.6,52.8,7.29
NLD,2007,3237,18.2,53.3,7.2
NLD,2008,3228,18.8,53.9,7.14
NLD,2009,3213,19.4,54.5,7.08
NLD,2010,3208,19.9,55,7.08
NLD,2011,3212,20.5,55.5,7.06
NLD,2012,3225,21,56,7.06
NLD,2013,3228,21.5,56.5,7.09
NLD,2014,3213,22.1,56.9,7.1
NLD,2015,3240,22.6,57.4,7.15
NLD,2016,3241,23.1,57.8,7.18
NZL,1990,3257,16.3,51.1,9.5
NZL,1991,3196,16.8,51.8,9.55
NZL,1992,3188,17.3,52.4,9.62
NZL,1993,3229,17.9,53,9.68
NZL,1994,3168,18.5,53.7,9.67
NZL,1995,3208,19,54.3,9.78
NZL,1996,3199,19.7,54.9,9.74
NZL,1997,3223,20.3,55.5,9.79
NZL,1998,3209,20.9,56.1,9.9
NZL,1999,3187,21.6,56.7,9.94
NZL,2000,3173,22.2,57.3,9.93
NZL,2001,3117,22.9,57.9,9.97
NZL,2002,3121,23.5,58.5,10.07
NZL,2003,3120,24.1,59,10
NZL,2004,3157,24.7,59.6,9.94
NZL,2005,3183,25.3,60.1,9.95
NZL,2006,3151,25.9,60.7,9.93
NZL,2007,3184,26.5,61.2,9.91
NZL,2008,3205,27.1,61.7,9.86
NZL,2009,3144,27.7,62.2,9.82
NZL,2010,3139,28.3,62.7,9.81
NZL,2011,3137,28.9,63.2,9.75
NZL,2012,3127,29.5,63.7,9.86
NZL,2013,3137,30.1,64.2,9.93
NZL,2014,3148,30.7,64.6,9.95
NZL,2015,3154,31.3,65.1,10.01
NZL,2016,3150,32,65.6,10.13
NIC,1990,1734,9.7,41.2,7.18
NIC,1991,1801,10,41.9,7.56
NIC,1992,1785,10.3,42.6,7.69
NIC,1993,1849,10.7,43.2,8.03
NIC,1994,1927,11,43.9,8.26
NIC,1995,1965,11.4,44.6,9
NIC,1996,1976,11.7,45.3,9.38
NIC,1997,1956,12.1,45.9,9.68
NIC,1998,2068,12.5,46.6,8.38
NIC,1999,2079,12.9,47.3,10.27
NIC,2000,2133,13.3,48,10.58
NIC,2001,2301,13.7,48.6,10.95
NIC,2002,2291,14.2,49.3,11.33
NIC,2003,2319,14.6,49.9,11.61
NIC,2004,2360,15.1,50.6,11.91
NIC,2005,2400,15.6,51.2,12.17
NIC,2006,2412,16.1,51.9,12.13
NIC,2007,2471,16.6,52.5,12.38
NIC,2008,2467,17.1,53.2,12.65
NIC,2009,2473,17.6,53.8,12.8
NIC,2010,2513,18.2,54.4,12.88
NIC,2011,2543,18.8,55.1,13.12
NIC,2012,2560,19.3,55.7,13.32
NIC,2013,2638,19.9,56.3,13.55
NIC,2014,2529,20.5,56.9,13.89
NIC,2015,2530,21.2,57.6,13.99
NIC,2016,2615,21.8,58.2,14.25
NER,1990,2278,1.3,11.7,1.7
NER,1991,2090,1.4,12.1,1.69
NER,1992,2066,1.5,12.4,1.75
NER,1993,2037,1.5,12.7,1.78
NER,1994,1990,1.6,13,1.83
NER,1995,2059,1.7,13.3,1.83
NER,1996,2099,1.8,13.6,1.91
NER,1997,2173,1.9,14,1.99
NER,1998,2186,2,14.3,2.07
NER,1999,2217,2.1,14.6,2.15
NER,2000,2328,2.2,15,2.22
NER,2001,2341,2.3,15.4,2.3
NER,2002,2309,2.4,15.7,2.41
NER,2003,2401,2.6,16.1,2.48
NER,2004,2453,2.7,16.5,2.57
NER,2005,2444,2.8,16.9,2.64
NER,2006,2442,3,17.3,2.72
NER,2007,2461,3.1,17.7,2.77
NER,2008,2520,3.3,18.2,2.84
NER,2009,2523,3.4,18.6,2.89
NER,2010,2533,3.6,19.1,2.93
NER,2011,2534,3.8,19.5,3
NER,2012,2567,3.9,20,3.05
NER,2013,2547,4.1,20.5,3.12
NER,2014,2556,4.3,21,3.22
NER,2015,2566,4.5,21.5,3.35
NER,2016,2583,4.7,22,3.48
NGA,1990,2192,2,14.3,2.35
NGA,1991,2339,2.1,14.8,2.41
NGA,1992,2434,2.2,15.2,2.49
NGA,1993,2524,2.3,15.7,2.56
NGA,1994,2500,2.5,16.2,2.62
NGA,1995,2561,2.6,16.6,2.65
NGA,1996,2556,2.8,17.1,2.69
NGA,1997,2599,2.9,17.6,2.77
NGA,1998,2631,3.1,18.1,2.82
NGA,1999,2633,3.2,18.6,2.88
NGA,2000,2610,3.4,19.1,2.93
NGA,2001,2613,3.6,19.6,2.98
NGA,2002,2605,3.8,20.1,3.06
NGA,2003,2608,4,20.7,3.14
NGA,2004,2655,4.2,21.2,3.22
NGA,2005,2705,4.4,21.8,3.27
NGA,2006,2725,4.7,22.4,3.34
NGA,2007,2720,4.9,23,3.4
NGA,2008,2723,5.2,23.7,3.47
NGA,2009,2683,5.5,24.3,3.59
NGA,2010,2706,5.8,24.9,3.73
NGA,2011,2706,6.1,25.6,3.9
NGA,2012,2665,6.4,26.2,4.07
NGA,2013,2700,6.7,26.9,4.23
NGA,2014,2626,7,27.6,4.35
NGA,2015,2561,7.4,28.3,4.51
NGA,2016,2581,7.8,28.9,4.66
NIU,1990,,27,64.1,15.94
NIU,1991,,27.8,64.8,16.28
NIU,1992,,28.7,65.5,16.64
NIU,1993,,29.5,66.1,16.94
NIU,1994,,30.3,66.7,17.19
NIU,1995,,31.2,67.3,17.47
NIU,1996,,32,68,17.74
NIU,1997,,32.9,68.6,18.06
NIU,1998,,33.8,69.2,18.28
NIU,1999,,34.7,69.8,17.81
NIU,2000,,35.6,70.5,18.84
NIU,2001,,36.4,71.1,19.12
NIU,2002,,37.3,71.7,19.53
NIU,2003,,38.2,72.4,19.91
NIU,2004,,39,73,19.23
NIU,2005,,39.9,73.6,20.48
NIU,2006,,40.8,74.2,20.56
NIU,2007,,41.7,74.8,20.57
NIU,2008,,42.6,75.4,20.59
NIU,2009,,43.5,76,20.53
NIU,2010,,44.3,76.6,20.49
NIU,2011,,45.2,77.2,20.57
NIU,2012,,46,77.8,20.71
NIU,2013,,46.9,78.4,20.86
NIU,2014,,47.7,78.9,21
NIU,2015,,48.5,79.5,21.14
NIU,2016,,49.3,80,21.29
PRK,1990,2370,2.6,21.5,2.45
PRK,1991,2368,2.7,21.9,2.48
PRK,1992,2222,2.9,22.2,2.51
PRK,1993,2276,3,22.6,2.54
PRK,1994,2246,3.1,23,2.57
PRK,1995,2103,3.2,23.3,1.75
PRK,1996,2080,3.4,23.7,1.94
PRK,1997,2133,3.5,24.1,1.94
PRK,1998,2121,3.7,24.5,1.94
PRK,1999,2112,3.8,24.9,1.92
PRK,2000,2147,4,25.3,1.97
PRK,2001,2096,4.2,25.7,2
PRK,2002,2182,4.3,26.1,2.03
PRK,2003,2189,4.5,26.5,2.8
PRK,2004,2206,4.6,26.9,2.83
PRK,2005,2180,4.8,27.4,2.86
PRK,2006,2141,5,27.8,2.89
PRK,2007,2109,5.2,28.2,2.91
PRK,2008,2095,5.3,28.7,2.94
PRK,2009,2088,5.5,29.1,2.97
PRK,2010,2089,5.7,29.6,2.99
PRK,2011,2100,5.9,30,3.02
PRK,2012,2105,6.1,30.5,3.05
PRK,2013,2094,6.4,31,3.09
PRK,2014,2087,6.6,31.4,3.13
PRK,2015,2061,6.8,31.9,3.17
PRK,2016,2049,7.1,32.4,3.19
MKD,1992,2363,14.7,48,14.67
MKD,1993,2316,15.1,48.4,14.66
MKD,1994,2687,15.5,48.9,14.81
MKD,1995,2582,15.9,49.4,14.83
MKD,1996,2584,16.3,49.9,15
MKD,1997,2768,16.7,50.3,15.19
MKD,1998,2869,17,50.8,15.29
MKD,1999,2794,17.3,51.2,15.38
MKD,2000,2750,17.7,51.6,15.42
MKD,2001,2631,18,51.9,15.4
MKD,2002,2722,18.3,52.3,15.6
MKD,2003,2741,18.6,52.7,15.71
MKD,2004,2872,18.9,53.1,15.86
MKD,2005,2780,19.2,53.4,16.1
MKD,2006,2827,19.6,53.8,16.26
MKD,2007,3017,19.9,54.2,16.4
MKD,2008,2960,20.3,54.6,16.41
MKD,2009,2997,20.7,55,16.45
MKD,2010,2955,21.1,55.5,16.64
MKD,2011,2910,21.5,55.9,16.76
MKD,2012,2931,21.9,56.3,16.91
MKD,2013,2949,22.4,56.7,16.9
MKD,2014,2955,22.9,57.2,17.03
MKD,2015,3003,23.4,57.6,17.21
MKD,2016,3021,23.9,58.1,17.23
MKD,1990,,13.9,47,14.43
MKD,1991,,14.3,47.5,14.54
NOR,1990,3156,12.5,44.8,7.4
NOR,1991,3222,12.8,45.4,7.35
NOR,1992,3219,13.2,46,7.31
NOR,1993,3222,13.6,46.6,7.24
NOR,1994,3277,14.1,47.1,7.2
NOR,1995,3224,14.5,47.7,7.16
NOR,1996,3311,15,48.3,7.08
NOR,1997,3329,15.5,48.9,7.03
NOR,1998,3402,16,49.5,7
NOR,1999,3418,16.5,50.1,6.92
NOR,2000,3378,17.1,50.7,6.84
NOR,2001,3418,17.6,51.2,6.8
NOR,2002,3459,18.1,51.8,6.76
NOR,2003,3437,18.7,52.3,6.71
NOR,2004,3477,19.2,52.8,6.67
NOR,2005,3520,19.7,53.3,6.63
NOR,2006,3446,20.2,53.8,6.6
NOR,2007,3464,20.6,54.3,6.57
NOR,2008,3478,21.1,54.8,6.54
NOR,2009,3471,21.6,55.2,6.51
NOR,2010,3486,22,55.7,6.51
NOR,2011,3488,22.5,56.1,6.49
NOR,2012,3499,23,56.6,6.51
NOR,2013,3485,23.5,57,6.53
NOR,2014,3466,24,57.4,6.5
NOR,2015,3423,24.5,57.9,6.49
NOR,2016,3407,25,58.3,6.5
OMN,1990,2345,10.9,42.9,8.94
OMN,1991,2333,11.4,43.9,9.46
OMN,1992,2410,11.9,44.8,10.05
OMN,1993,2319,12.3,45.7,10.6
OMN,1994,2397,12.8,46.6,11.19
OMN,1995,2362,13.3,47.6,11.76
OMN,1996,2399,13.7,48.5,12.31
OMN,1997,2358,14.1,49.4,12.88
OMN,1998,2544,14.5,50.3,13.45
OMN,1999,2627,14.9,51.1,14.01
OMN,2000,2591,15.3,51.8,14.56
OMN,2001,2684,15.8,52.4,15.17
OMN,2002,2626,16.3,52.9,15.74
OMN,2003,2631,16.8,53.4,16.33
OMN,2004,2664,17.3,54,16.94
OMN,2005,2718,17.7,54.6,17.5
OMN,2006,2768,18.2,55.2,17.9
OMN,2007,2833,18.7,55.9,18.09
OMN,2008,2944,19.1,56.7,18.54
OMN,2009,3026,19.4,57.5,18.8
OMN,2010,3058,19.7,58.2,19.07
OMN,2011,3077,19.9,58.9,19.21
OMN,2012,3115,20.2,59.6,19.3
OMN,2013,3143,20.6,60.4,18.81
OMN,2014,2989,21.1,61.1,18.72
OMN,2015,2948,21.9,61.9,18.67
OMN,2016,2886,22.9,62.6,18.49
PAK,1990,2342,2,13.5,2.54
PAK,1991,2224,2.2,13.9,2.61
PAK,1992,2325,2.3,14.4,2.7
PAK,1993,2349,2.4,14.8,2.8
PAK,1994,2398,2.5,15.3,2.92
PAK,1995,2389,2.7,15.7,3.06
PAK,1996,2406,2.8,16.2,3.21
PAK,1997,2402,3,16.7,3.38
PAK,1998,2371,3.1,17.2,3.55
PAK,1999,2422,3.3,17.7,3.76
PAK,2000,2398,3.5,18.2,3.99
PAK,2001,2312,3.6,18.8,4.26
PAK,2002,2255,3.8,19.3,4.56
PAK,2003,2312,4,19.9,4.88
PAK,2004,2340,4.2,20.5,5.2
PAK,2005,2359,4.4,21.1,5.29
PAK,2006,2381,4.7,21.7,5.72
PAK,2007,2420,4.9,22.3,5.95
PAK,2008,2422,5.2,22.9,6.18
PAK,2009,2429,5.4,23.6,6.38
PAK,2010,2432,5.7,24.2,6.54
PAK,2011,2426,6,24.9,6.7
PAK,2012,2434,6.3,25.6,6.85
PAK,2013,2440,6.6,26.3,7.01
PAK,2014,2429,7,27,7.15
PAK,2015,2445,7.4,27.7,7.3
PAK,2016,2469,7.8,28.4,7.46
PLW,1990,,35.6,73.4,13.79
PLW,1991,,36.5,73.9,14.1
PLW,1992,,37.4,74.5,14.41
PLW,1993,,38.3,75,14.71
PLW,1994,,39.2,75.6,15.13
PLW,1995,,40,76.1,15.47
PLW,1996,,40.8,76.5,15.74
PLW,1997,,41.5,77,16.14
PLW,1998,,42.2,77.4,16.48
PLW,1999,,42.8,77.7,16.79
PLW,2000,,43.4,78.1,17.05
PLW,2001,,44,78.5,17.33
PLW,2002,,44.7,78.9,17.64
PLW,2003,,45.5,79.4,17.88
PLW,2004,,46.3,79.9,18.14
PLW,2005,,47.1,80.4,18.2
PLW,2006,,47.9,80.9,18.14
PLW,2007,,48.8,81.4,18.02
